id,id_disciplina,id_professor
632,MAT0022,334
633,MAT0022,334
634,MAT0022,333
635,MAT0022,334
636,MAT0022,336
637,MAT0023,332
638,MAT0023,332
639,MAT0025,338
640,MAT0025,339
641,MAT0025,340
642,MAT0025,341
643,MAT0025,342
644,MAT0025,343
645,MAT0025,340
646,MAT0025,344
647,MAT0025,340
648,MAT0025,333
649,MAT0025,345
650,MAT0025,346
651,MAT0025,347
652,MAT0025,348
653,MAT0025,349
654,MAT0025,350
655,MAT0025,351
656,MAT0025,341
657,MAT0025,336
658,MAT0025,352
659,MAT0025,353
660,MAT0025,340
661,MAT0025,336
662,MAT0025,340
663,MAT0025,354
664,MAT0025,348
665,MAT0025,93
666,MAT0025,333
667,MAT0025,355
668,MAT0025,356
669,MAT0025,341
670,MAT0025,357
671,MAT0025,358
672,MAT0025,359
673,MAT0025,348
674,MAT0025,348
675,MAT0025,351
676,MAT0025,355
677,MAT0025,360
678,MAT0025,340
679,MAT0025,332
680,MAT0025,348
681,MAT0025,344
682,MAT0025,361
683,MAT0025,357
684,MAT0025,362
685,MAT0025,350
686,MAT0025,350
687,MAT0025,363
688,MAT0025,363
689,MAT0025,364
690,MAT0025,364
691,MAT0025,365
692,MAT0025,365
693,MAT0025,366
694,MAT0025,342
695,MAT0025,342
696,MAT0026,367
697,MAT0026,368
698,MAT0026,369
699,MAT0026,367
700,MAT0026,370
701,MAT0026,371
702,MAT0026,372
703,MAT0026,360
704,MAT0026,373
705,MAT0026,374
706,MAT0026,371
707,MAT0026,347
708,MAT0026,372
709,MAT0026,338
710,MAT0026,374
711,MAT0026,371
712,MAT0027,375
713,MAT0027,376
714,MAT0027,357
715,MAT0027,346
716,MAT0027,377
717,MAT0027,378
718,MAT0027,379
719,MAT0027,365
720,MAT0027,380
721,MAT0027,381
722,MAT0027,375
723,MAT0028,382
724,MAT0028,351
725,MAT0031,383
726,MAT0031,384
727,MAT0031,385
728,MAT0031,380
729,MAT0031,331
730,MAT0031,379
731,MAT0031,349
732,MAT0031,385
733,MAT0031,386
734,MAT0031,382
735,MAT0031,387
736,MAT0031,388
737,MAT0031,370
738,MAT0031,383
739,MAT0031,389
740,MAT0034,390
741,MAT0034,363
742,MAT0034,391
743,MAT0038,392
744,MAT0038,393
745,MAT0039,328
746,MAT0040,389
747,MAT0045,394
748,MAT0045,327
749,MAT0050,395
750,MAT0053,329
751,MAT0053,337
752,MAT0053,337
753,MAT0053,333
754,MAT0059,396
755,MAT0060,92
756,MAT0075,330
757,MAT0075,397
758,MAT0075,397
759,MAT0076,398
760,MAT0080,381
761,MAT0087,364
762,MAT0087,341
763,MAT0087,346
764,MAT0087,364
765,MAT0106,378
766,MAT0111,342
767,MAT0114,340
768,MAT0122,400
769,MAT0124,401
770,MAT0124,326
771,MAT0129,388
772,MAT0131,401
773,MAT0134,400
774,MAT0136,339
775,MAT0136,402
776,SOL0011,403
777,SOL0032,405
778,SOL0037,406
779,SOL0039,407
780,SOL0039,408
781,SOL0039,404
782,SOL0039,409
783,SOL0039,410
784,SOL0039,411
785,SOL0039,412
786,SOL0039,405
787,SOL0039,403
788,SOL0039,413
789,SOL0039,414
790,SOL0039,415
791,SOL0039,416
792,SOL0039,417
793,SOL0039,406
794,SOL0039,418
795,SOL0039,419
796,SOL0039,420
797,SOL0039,421
798,SOL0039,422
799,SOL0039,423
800,SOL0041,407
801,SOL0041,408
802,SOL0041,404
803,SOL0041,409
804,SOL0041,411
805,SOL0041,412
806,SOL0041,405
807,SOL0041,413
808,SOL0041,414
809,SOL0041,403
810,SOL0041,416
811,SOL0041,417
812,SOL0041,406
813,SOL0041,418
814,SOL0041,419
815,SOL0041,420
816,SOL0041,421
817,SOL0041,422
818,SOL0041,423
819,SOL0041,410
820,SOL0042,424
821,SOL0042,425
822,SOL0042,426
823,SOL0042,407
824,SOL0042,426
825,SOL0042,427
826,SOL0042,425
827,SOL0042,428
828,SOL0042,418
829,SOL0042,419
830,SOL0042,422
831,SOL0042,423
832,SOL0044,429
833,SOL0044,430
834,SOL0053,424
835,SOL0058,413
836,SOL0062,418
837,SOL0087,431
838,SOL0087,426
839,SOL0093,410
840,SOL0097,405
841,SOL0098,422
842,SOL0103,411
843,SOL0104,404
844,SOL0117,403
845,SOL0122,431
846,SOL0122,416
847,SOL0124,406
848,SOL0130,412
849,SOL0130,429
850,SOL0133,409
851,SOL0301,404
852,SOL0301,409
853,SOL0301,430
854,ADM0002,432
855,ADM0002,433
856,ADM0002,434
857,ADM0002,435
858,ADM0002,436
859,ADM0004,437
860,ADM0009,438
861,ADM0010,439
862,ADM0012,440
863,ADM0012,440
864,ADM0014,441
865,ADM0014,442
866,ADM0014,443
867,ADM0015,444
868,ADM0017,445
869,ADM0020,446
870,ADM0021,447
871,ADM0021,447
872,ADM0023,448
873,ADM0023,449
874,ADM0023,450
875,ADM0023,444
876,ADM0023,451
877,ADM0023,452
878,ADM0023,453
879,ADM0023,454
880,ADM0023,455
881,ADM0023,456
882,ADM0023,457
883,ADM0023,455
884,ADM0035,459
885,ADM0035,460
886,ADM0041,461
887,ADM0041,462
888,ADM0047,463
889,ADM0047,464
890,ADM0052,465
891,ADM0052,465
892,ADM0052,466
893,ADM0052,467
894,ADM0061,468
895,ADM0061,435
896,ADM0064,469
897,ADM0064,470
898,ADM0092,471
899,ADM0092,472
900,ADM0150,448
901,ADM0157,473
902,ADM0157,454
903,ADM0157,474
904,ADM0157,475
905,ADM0162,476
906,ADM0162,477
907,ADM0162,474
908,ADM0162,478
909,ADM0162,479
910,ADM0187,480
911,ADM0187,481
912,ADM0187,482
913,ADM0187,482
914,ADM0190,481
915,ADM0190,467
916,ADM0192,480
917,ADM0192,434
918,ADM0192,483
919,ADM0192,483
920,ADM0192,484
921,ADM0198,445
922,ADM0198,479
923,ADM0198,449
924,ADM0214,485
925,ADM0214,453
926,ADM0228,486
927,ADM0231,487
928,ADM0231,436
929,ADM0231,488
930,ADM0241,489
931,ADM0244,437
932,ADM0258,461
933,ADM0273,481
934,ADM0273,442
935,ADM0273,454
936,ADM0273,444
937,ADM0273,466
938,ADM0273,483
939,ADM0273,462
940,ADM0273,485
941,ADM0273,491
942,ADM0273,460
943,ADM0273,474
944,ADM0273,453
945,ADM0273,433
946,ADM0273,441
947,ADM0273,492
948,ADM0273,451
949,ADM0273,470
950,ADM0273,445
951,ADM0273,493
952,ADM0273,440
953,ADM0273,461
954,ADM0273,447
955,ADM0273,435
956,ADM0273,487
957,ADM0273,434
958,ADM0273,464
959,ADM0273,475
960,ADM0273,449
961,ADM0273,489
962,ADM0273,494
963,ADM0273,471
964,ADM0273,432
965,ADM0273,477
966,ADM0273,476
967,ADM0273,436
968,ADM0273,463
969,ADM0273,478
970,ADM0273,495
971,ADM0273,479
972,ADM0273,496
973,ADM0273,497
974,ADM0273,498
975,ADM0273,499
976,ADM0273,479
977,ADM0273,500
978,ADM0273,448
979,ADM0273,501
980,ADM0273,473
981,ADM0297,449
982,ADM0297,479
983,ADM0297,496
984,ADM0297,454
985,ADM0297,470
986,ADM0297,472
987,ADM0297,495
988,ADM0297,472
989,ADM0297,460
990,ADM0297,448
991,ADM0297,437
992,ADM0297,463
993,ADM0297,434
994,ADM0297,477
995,ADM0297,476
996,ADM0297,475
997,ADM0297,486
998,ADM0297,441
999,ADM0297,474
1000,ADM0297,465
1001,ADM0297,432
1002,ADM0297,438
1003,ADM0297,485
1004,ADM0297,489
1005,ADM0297,502
1006,ADM0297,481
1007,ADM0297,461
